year,age,value
2020,0,0.01929893
2020,1,0.00124796
2020,2,0.00105468
2020,3,0.00089448
2020,4,0.00076152
2020,5,0.00065209
2020,6,0.00056386
2020,7,0.00049497
2020,8,0.00044483
2020,9,0.0004132
2020,10,0.00040122
2020,11,0.00041117
2020,12,0.00044619
2020,13,0.00051189
2020,14,0.00061214
2020,15,0.00074894
2020,16,0.00091396
2020,17,0.00108557
2020,18,0.00123795
2020,19,0.00134518
2020,20,0.00140354
2020,21,0.00142323
2020,22,0.00142198
2020,23,0.00141698
2020,24,0.00141668
2020,25,0.00142709
2020,26,0.00144855
2020,27,0.00147962
2020,28,0.00152196
2020,29,0.00157598
2020,30,0.00164145
2020,31,0.0017193
2020,32,0.00181035
2020,33,0.00191841
2020,34,0.00204679
2020,35,0.00219543
2020,36,0.00236309
2020,37,0.00254791
2020,38,0.0027518
2020,39,0.00297735
2020,40,0.00322702
2020,41,0.0035053
2020,42,0.00381678
2020,43,0.00416944
2020,44,0.00456927
2020,45,0.00501723
2020,46,0.00551224
2020,47,0.00605122
2020,48,0.00663536
2020,49,0.00726788
2020,50,0.00795271
2020,51,0.00869699
2020,52,0.00950902
2020,53,0.01040239
2020,54,0.01138889
2020,55,0.01247547
2020,56,0.01366949
2020,57,0.0149756
2020,58,0.01641428
2020,59,0.01800112
2020,60,0.0197366
2020,61,0.02162531
2020,62,0.02367256
2020,63,0.0259027
2020,64,0.02834696
2020,65,0.03101874
2020,66,0.03393153
2020,67,0.03710181
2020,68,0.04057759
2020,69,0.04440045
2020,70,0.04858473
2020,71,0.05306862
2020,72,0.05790573
2020,73,0.06325829
2020,74,0.0691695
2020,75,0.0756476
2020,76,0.08268657
2020,77,0.09028324
2020,78,0.09839889
2020,79,0.10711344
2020,80,0.11662241
2020,81,0.12715044
2020,82,0.13891989
2020,83,0.15354714
2020,84,0.1718836
2020,85,0.19290781
2020,86,0.21558054
2020,87,0.23886189
2020,88,0.26251031
2020,89,0.28725478
2020,90,0.31351781
2020,91,0.34178294
2020,92,0.37253331
2020,93,0.40644222
2020,94,0.44381912
2020,95,0.48439461
2020,96,0.5278131
2020,97,0.57369179
2020,98,0.62303666
2020,99,0.67659774
2021,0,0.01863565
2021,1,0.00119275
2021,2,0.0010117
2021,3,0.00086065
2021,4,0.00073478
2021,5,0.0006308
2021,6,0.00054667
2021,7,0.00048073
2021,8,0.00043257
2021,9,0.00040212
2021,10,0.00039065
2021,11,0.00040053
2021,12,0.00043493
2021,13,0.00049946
2021,14,0.00059801
2021,15,0.00073272
2021,16,0.00089552
2021,17,0.00106508
2021,18,0.00121577
2021,19,0.00132174
2021,20,0.00137923
2021,21,0.0013985
2021,22,0.00139718
2021,23,0.00140943
2021,24,0.00145218
2021,25,0.00151844
2021,26,0.0015955
2021,27,0.00166887
2021,28,0.00173547
2021,29,0.001803
2021,30,0.00187641
2021,31,0.00196188
2021,32,0.00206557
2021,33,0.00219217
2021,34,0.00234212
2021,35,0.00251519
2021,36,0.00270995
2021,37,0.0029242
2021,38,0.00316
2021,39,0.00342087
2021,40,0.00371027
2021,41,0.00403355
2021,42,0.00439626
2021,43,0.00481139
2021,44,0.00528668
2021,45,0.0058194
2021,46,0.00640513
2021,47,0.00703729
2021,48,0.00771784
2021,49,0.00845299
2021,50,0.00924621
2021,51,0.01010422
2021,52,0.01103468
2021,53,0.01204774
2021,54,0.01315595
2021,55,0.0143701
2021,56,0.01570089
2021,57,0.01715933
2021,58,0.01876248
2021,59,0.02052609
2021,60,0.02246062
2021,61,0.02458051
2021,62,0.02690266
2021,63,0.02947302
2021,64,0.0323281
2021,65,0.03547502
2021,66,0.03892192
2021,67,0.04267711
2021,68,0.04682575
2021,69,0.05143171
2021,70,0.05648013
2021,71,0.06196359
2021,72,0.06779015
2021,73,0.07403919
2021,74,0.08089462
2021,75,0.08836629
2021,76,0.09647895
2021,77,0.10524678
2021,78,0.11466672
2021,79,0.12480447
2021,80,0.13579749
2021,81,0.14781289
2021,82,0.16100892
2021,83,0.17533559
2021,84,0.19082831
2021,85,0.20766774
2021,86,0.22600781
2021,87,0.2460016
2021,88,0.26862812
2021,89,0.29449389
2021,90,0.32319846
2021,91,0.35439694
2021,92,0.38773351
2021,93,0.42388658
2021,94,0.46381113
2021,95,0.50735666
2021,96,0.55429065
2021,97,0.60434625
2021,98,0.65902618
2021,99,0.71935943
2022,0,0.01800026
2022,1,0.00113982
2022,2,0.00096953
2022,3,0.00082691
2022,4,0.00070765
2022,5,0.0006088
2022,6,0.00052854
2022,7,0.00046547
2022,8,0.00041935
2022,9,0.00039026
2022,10,0.00037953
2022,11,0.00038957
2022,12,0.00042356
2022,13,0.00048711
2022,14,0.00058421
2022,15,0.00071711
2022,16,0.00087789
2022,17,0.00104549
2022,18,0.00119447
2022,19,0.00129911
2022,20,0.00135562
2022,21,0.00137419
2022,22,0.00137244
2022,23,0.00136844
2022,24,0.00137089
2022,25,0.00138462
2022,26,0.00140872
2022,27,0.00144046
2022,28,0.0014783
2022,29,0.00152145
2022,30,0.00157145
2022,31,0.00163104
2022,32,0.00170302
2022,33,0.00179024
2022,34,0.00189375
2022,35,0.00201366
2022,36,0.00214914
2022,37,0.00229855
2022,38,0.00246158
2022,39,0.00263906
2022,40,0.00283428
2022,41,0.00305243
2022,42,0.00329884
2022,43,0.00357917
2022,44,0.00389681
2022,45,0.0042531
2022,46,0.00464761
2022,47,0.00507817
2022,48,0.00554372
2022,49,0.00604451
2022,50,0.00658405
2022,51,0.00716905
2022,52,0.00780726
2022,53,0.00850735
2022,54,0.00927704
2022,55,0.01012292
2022,56,0.01105012
2022,57,0.01206344
2022,58,0.01317016
2022,59,0.01437764
2022,60,0.01569562
2022,61,0.01713752
2022,62,0.018719
2022,63,0.02045807
2022,64,0.02237248
2022,65,0.02447875
2022,66,0.02679791
2022,67,0.02935218
2022,68,0.03216711
2022,69,0.0352758
2022,70,0.0387171
2022,71,0.04253764
2022,72,0.04678621
2022,73,0.05144013
2022,74,0.05656831
2022,75,0.06228439
2022,76,0.06860097
2022,77,0.07554157
2022,78,0.08313313
2022,79,0.09143242
2022,80,0.10051981
2022,81,0.11050609
2022,82,0.12149915
2022,83,0.13357454
2022,84,0.14677767
2022,85,0.16108452
2022,86,0.17644059
2022,87,0.19278348
2022,88,0.21006614
2022,89,0.22831577
2022,90,0.24758908
2022,91,0.267994
2022,92,0.28963313
2022,93,0.31253215
2022,94,0.33666985
2022,95,0.36192037
2022,96,0.38810073
2022,97,0.41501395
2022,98,0.44245232
2022,99,0.47026376
2023,0,0.01738087
2023,1,0.00108545
2023,2,0.0009262
2023,3,0.00079176
2023,4,0.00067884
2023,5,0.00058497
2023,6,0.00050853
2023,7,0.00044831
2023,8,0.00040423
2023,9,0.00037647
2023,10,0.00036642
2023,11,0.00037649
2023,12,0.00040987
2023,13,0.00047216
2023,14,0.00056739
2023,15,0.00069794
2023,16,0.00085615
2023,17,0.00102131
2023,18,0.00116829
2023,19,0.00127154
2023,20,0.00132724
2023,21,0.00134541
2023,22,0.00134347
2023,23,0.00133941
2023,24,0.00134179
2023,25,0.00135526
2023,26,0.00137898
2023,27,0.00141026
2023,28,0.00144755
2023,29,0.00149003
2023,30,0.00153926
2023,31,0.0015979
2023,32,0.00166866
2023,33,0.00175439
2023,34,0.00185622
2023,35,0.00197428
2023,36,0.00210766
2023,37,0.00225492
2023,38,0.00241585
2023,39,0.00259118
2023,40,0.00278413
2023,41,0.00299978
2023,42,0.00324341
2023,43,0.00352053
2023,44,0.00383455
2023,45,0.0041869
2023,46,0.00457705
2023,47,0.0050027
2023,48,0.00546306
2023,49,0.0059584
2023,50,0.00649208
2023,51,0.00707077
2023,52,0.00770211
2023,53,0.00839471
2023,54,0.00915601
2023,55,0.00999225
2023,56,0.01090917
2023,57,0.01191077
2023,58,0.01300316
2023,59,0.01419557
2023,60,0.01549773
2023,61,0.0169225
2023,62,0.01848473
2023,63,0.02020163
2023,64,0.02209174
2023,65,0.02417249
2023,66,0.02646146
2023,67,0.02898099
2023,68,0.03175748
2023,69,0.03482246
2023,70,0.03821498
2023,71,0.04198172
2023,72,0.04617122
2023,73,0.05083035
2023,74,0.05592668
2023,75,0.06151875
2023,76,0.06772392
2023,77,0.07455288
2023,78,0.08203967
2023,79,0.09023793
2023,80,0.09922242
2023,81,0.10910211
2023,82,0.11998692
2023,83,0.13195616
2023,84,0.14505448
2023,85,0.1592571
2023,86,0.17450943
2023,87,0.1907435
2023,88,0.20790613
2023,89,0.22602738
2023,90,0.24517267
2023,91,0.26545945
2023,92,0.28700122
2023,93,0.30982658
2023,94,0.33390528
2023,95,0.35909401
2023,96,0.38520064
2023,97,0.41201937
2023,98,0.439335
2023,99,0.46700953
2024,0,0.01683163
2024,1,0.00105365
2024,2,0.00089954
2024,3,0.00076935
2024,4,0.00065998
2024,5,0.00056902
2024,6,0.00049486
2024,7,0.00043643
2024,8,0.0003937
2024,9,0.00036683
2024,10,0.0003572
2024,11,0.00036719
2024,12,0.00039993
2024,13,0.00046095
2024,14,0.00055422
2024,15,0.0006821
2024,16,0.00083711
2024,17,0.00099907
2024,18,0.00114336
2024,19,0.00124493
2024,20,0.0013
2024,21,0.00131827
2024,22,0.00131679
2024,23,0.00131315
2024,24,0.00131583
2024,25,0.00132937
2024,26,0.00135296
2024,27,0.001384
2024,28,0.001421
2024,29,0.00146316
2024,30,0.00151199
2024,31,0.00157026
2024,32,0.00164054
2024,33,0.00172553
2024,34,0.00182641
2024,35,0.00194341
2024,36,0.00207571
2024,37,0.0022217
2024,38,0.00238133
2024,39,0.00255545
2024,40,0.00274712
2024,41,0.00296132
2024,42,0.00320332
2024,43,0.00347861
2024,44,0.00379056
2024,45,0.00414072
2024,46,0.00452845
2024,47,0.00495161
2024,48,0.00540924
2024,49,0.00590195
2024,50,0.00643313
2024,51,0.00700873
2024,52,0.00763688
2024,53,0.00832619
2024,54,0.00908419
2024,55,0.00991693
2024,56,0.01082905
2024,57,0.01182621
2024,58,0.01291378
2024,59,0.01409984
2024,60,0.01539634
2024,61,0.01681505
2024,62,0.01837119
2024,63,0.02008116
2024,64,0.02196274
2024,65,0.02403443
2024,66,0.02631401
2024,67,0.02882149
2024,68,0.03158393
2024,69,0.03463438
2024,70,0.03801065
2024,71,0.04175913
2024,72,0.04592907
2024,73,0.05056689
2024,74,0.05571432
2024,75,0.06132174
2024,76,0.06744672
2024,77,0.07420996
2024,78,0.08163125
2024,79,0.08977135
2024,80,0.09870188
2024,81,0.10852746
2024,82,0.11935575
2024,83,0.13126882
2024,84,0.14431533
2024,85,0.15846956
2024,86,0.17367708
2024,87,0.18986647
2024,88,0.20697731
2024,89,0.22503169
2024,90,0.24409637
2024,91,0.26429798
2024,92,0.28575436
2024,93,0.30850245
2024,94,0.33251615
2024,95,0.35764825
2024,96,0.38373689
2024,97,0.41055347
2024,98,0.4378849
2024,99,0.46559091
2025,0,0.01634022
2025,1,0.00103259
2025,2,0.00088099
2025,3,0.00075311
2025,4,0.00064582
2025,5,0.00055668
2025,6,0.00048401
2025,7,0.00042681
2025,8,0.00038499
2025,9,0.00035872
2025,10,0.00034933
2025,11,0.00035908
2025,12,0.0003911
2025,13,0.00045074
2025,14,0.00054194
2025,15,0.00066702
2025,16,0.00081869
2025,17,0.00097735
2025,18,0.00111899
2025,19,0.0012191
2025,20,0.00127385
2025,21,0.00129259
2025,22,0.00129192
2025,23,0.00128896
2025,24,0.00129201
2025,25,0.00130564
2025,26,0.00132913
2025,27,0.00135988
2025,28,0.0013965
2025,29,0.00143827
2025,30,0.0014866
2025,31,0.00154429
2025,32,0.00161374
2025,33,0.00169763
2025,34,0.00179704
2025,35,0.00191233
2025,36,0.00204296
2025,37,0.00218737
2025,38,0.00234538
2025,39,0.00251798
2025,40,0.00270824
2025,41,0.00292074
2025,42,0.00316058
2025,43,0.00343311
2025,44,0.00374174
2025,45,0.00408815
2025,46,0.00447178
2025,47,0.00489118
2025,48,0.00534542
2025,49,0.00583493
2025,50,0.00636332
2025,51,0.00693558
2025,52,0.00755976
2025,53,0.00824409
2025,54,0.00899597
2025,55,0.00982183
2025,56,0.01072552
2025,57,0.0117138
2025,58,0.01279344
2025,59,0.01397188
2025,60,0.01525983
2025,61,0.01667004
2025,62,0.01821843
2025,63,0.01992027
2025,64,0.02179209
2025,65,0.02385152
2025,66,0.02611638
2025,67,0.02860947
2025,68,0.03135459
2025,69,0.03438566
2025,70,0.03774215
2025,71,0.04146809
2025,72,0.04561369
2025,73,0.05022526
2025,74,0.05534396
2025,75,0.06099856
2025,76,0.06713301
2025,77,0.07380609
2025,78,0.08115355
2025,79,0.08922112
2025,80,0.09808741
2025,81,0.10785433
2025,82,0.11862189
2025,83,0.1304705
2025,84,0.14345164
2025,85,0.15754485
2025,86,0.1726986
2025,87,0.18883852
2025,88,0.20590381
2025,89,0.22390881
2025,90,0.24291165
2025,91,0.26304236
2025,92,0.28442147
2025,93,0.30709274
2025,94,0.3310388
2025,95,0.3561173
2025,96,0.38220092
2025,97,0.40902829
2025,98,0.43639972
2025,99,0.46418215
2026,0,0.01585922
2026,1,0.00101138
2026,2,0.00086239
2026,3,0.0007369
2026,4,0.00063172
2026,5,0.00054444
2026,6,0.00047328
2026,7,0.0004173
2026,8,0.00037642
2026,9,0.00035075
2026,10,0.00034159
2026,11,0.00035114
2026,12,0.00038243
2026,13,0.00044074
2026,14,0.00052991
2026,15,0.00065226
2026,16,0.00080063
2026,17,0.00095604
2026,18,0.00109506
2026,19,0.00119371
2026,20,0.00124813
2026,21,0.0012673
2026,22,0.00126741
2026,23,0.00126514
2026,24,0.00126861
2026,25,0.0012823
2026,26,0.00130572
2026,27,0.00133627
2026,28,0.00137255
2026,29,0.00141392
2026,30,0.00146177
2026,31,0.00151889
2026,32,0.00158752
2026,33,0.00167031
2026,34,0.00176838
2026,35,0.00188207
2026,36,0.00201104
2026,37,0.00215389
2026,38,0.00231049
2026,39,0.00248163
2026,40,0.00267043
2026,41,0.00288134
2026,42,0.00311919
2026,43,0.00338915
2026,44,0.00369467
2026,45,0.00403762
2026,46,0.00441736
2026,47,0.0048331
2026,48,0.00528428
2026,49,0.00577118
2026,50,0.00629701
2026,51,0.00686616
2026,52,0.00748677
2026,53,0.00816654
2026,54,0.00891276
2026,55,0.00973213
2026,56,0.01062808
2026,57,0.01160846
2026,58,0.0126802
2026,59,0.01385204
2026,60,0.0151338
2026,61,0.01653524
2026,62,0.0180757
2026,63,0.01977008
2026,64,0.02163378
2026,65,0.02368342
2026,66,0.02593479
2026,67,0.02841332
2026,68,0.03114471
2026,69,0.03415919
2026,70,0.03749708
2026,71,0.04120308
2026,72,0.04532642
2026,73,0.04991382
2026,74,0.05500647
2026,75,0.06063294
2026,76,0.06681932
2026,77,0.07350492
2026,78,0.080762
2026,79,0.08875695
2026,80,0.09755229
2026,81,0.10725788
2026,82,0.1179682
2026,83,0.12975734
2026,84,0.14267568
2026,85,0.15670675
2026,86,0.17180775
2026,87,0.18790265
2026,88,0.20492933
2026,89,0.22290043
2026,90,0.24186513
2026,91,0.26194693
2026,92,0.28326476
2026,93,0.30586879
2026,94,0.32974937
2026,95,0.35477377
2026,96,0.38085791
2026,97,0.40770408
2026,98,0.43511194
2026,99,0.46295983
2027,0,0.01539089
2027,1,0.00099026
2027,2,0.00084389
2027,3,0.00072078
2027,4,0.00061773
2027,5,0.00053229
2027,6,0.00046262
2027,7,0.00040787
2027,8,0.0003679
2027,9,0.00034283
2027,10,0.0003339
2027,11,0.00034323
2027,12,0.00037381
2027,13,0.00043077
2027,14,0.00051791
2027,15,0.00063754
2027,16,0.00078266
2027,17,0.0009348
2027,18,0.00107116
2027,19,0.00116833
2027,20,0.00122239
2027,21,0.00124195
2027,22,0.00124278
2027,23,0.00124116
2027,24,0.00124503
2027,25,0.0012588
2027,26,0.00128208
2027,27,0.00131239
2027,28,0.00134837
2027,29,0.00138931
2027,30,0.00143663
2027,31,0.00149312
2027,32,0.00156087
2027,33,0.00164247
2027,34,0.00173912
2027,35,0.0018512
2027,36,0.00197847
2027,37,0.00211961
2027,38,0.00227466
2027,39,0.00244437
2027,40,0.00263155
2027,41,0.00284058
2027,42,0.00307629
2027,43,0.00334357
2027,44,0.00364584
2027,45,0.00398515
2027,46,0.00436087
2027,47,0.00477266
2027,48,0.00522031
2027,49,0.00570435
2027,50,0.00622761
2027,51,0.00679317
2027,52,0.00740968
2027,53,0.00808448
2027,54,0.00882454
2027,55,0.00963684
2027,56,0.01052434
2027,57,0.0114963
2027,58,0.01255981
2027,59,0.01372353
2027,60,0.01499849
2027,61,0.01639193
2027,62,0.01792214
2027,63,0.01960664
2027,64,0.0214605
2027,65,0.02349945
2027,66,0.02573706
2027,67,0.02819917
2027,68,0.03091312
2027,69,0.03391096
2027,70,0.03722891
2027,71,0.04091148
2027,72,0.04501006
2027,73,0.04956965
2027,74,0.05463197
2027,75,0.06022595
2027,76,0.0663777
2027,77,0.07311203
2027,78,0.08037613
2027,79,0.08827084
2027,80,0.09698375
2027,81,0.10660864
2027,82,0.11724529
2027,83,0.12896353
2027,84,0.14180767
2027,85,0.15576115
2027,86,0.17078859
2027,87,0.18681851
2027,88,0.20378903
2027,89,0.22171009
2027,90,0.24062803
2027,91,0.26065907
2027,92,0.28191023
2027,93,0.30443375
2027,94,0.32822755
2027,95,0.3531679
2027,96,0.37921819
2027,97,0.40605363
2027,98,0.43347009
2027,99,0.46134434
2028,0,0.01490231
2028,1,0.00096704
2028,2,0.00082369
2028,3,0.00070328
2028,4,0.00060261
2028,5,0.00051923
2028,6,0.00045122
2028,7,0.00039781
2028,8,0.00035885
2028,9,0.00033444
2028,10,0.00032578
2028,11,0.0003349
2028,12,0.00036475
2028,13,0.00042033
2028,14,0.00050537
2028,15,0.00062218
2028,16,0.00076393
2028,17,0.00091275
2028,18,0.00104636
2028,19,0.00114194
2028,20,0.00119559
2028,21,0.00121554
2028,22,0.00121708
2028,23,0.00121609
2028,24,0.00122037
2028,25,0.00123423
2028,26,0.00125742
2028,27,0.00128747
2028,28,0.00132314
2028,29,0.00136372
2028,30,0.0014105
2028,31,0.00146635
2028,32,0.00153322
2028,33,0.00161363
2028,34,0.0017088
2028,35,0.00181926
2028,36,0.00194491
2028,37,0.00208439
2028,38,0.00223782
2028,39,0.00240607
2028,40,0.00259181
2028,41,0.00279895
2028,42,0.0030324
2028,43,0.00329707
2028,44,0.00359622
2028,45,0.00393206
2028,46,0.0043039
2028,47,0.00471199
2028,48,0.00515622
2028,49,0.00563735
2028,50,0.00615831
2028,51,0.00672088
2028,52,0.00733338
2028,53,0.00800332
2028,54,0.00873758
2028,55,0.00954317
2028,56,0.0104225
2028,57,0.01138627
2028,58,0.01244213
2028,59,0.01359864
2028,60,0.01486657
2028,61,0.01625286
2028,62,0.01777535
2028,63,0.0194493
2028,64,0.02129281
2028,65,0.02332156
2028,66,0.025547
2028,67,0.02799522
2028,68,0.03069289
2028,69,0.0336737
2028,70,0.03697564
2028,71,0.04063781
2028,72,0.04471295
2028,73,0.04924776
2028,74,0.05428233
2028,75,0.05984654
2028,76,0.06596721
2028,77,0.07266915
2028,78,0.07998834
2028,79,0.08789509
2028,80,0.09650957
2028,81,0.10605607
2028,82,0.11661491
2028,83,0.12826292
2028,84,0.14104066
2028,85,0.15492645
2028,86,0.16988836
2028,87,0.18585806
2028,88,0.20278033
2028,89,0.22066419
2028,90,0.23955231
2028,91,0.25956027
2028,92,0.28078224
2028,93,0.30326217
2028,94,0.32700134
2028,95,0.35188496
2028,96,0.37792709
2028,97,0.40477732
2028,98,0.43223563
2028,99,0.46017398
2029,0,0.01452861
2029,1,0.00095006
2029,2,0.00080876
2029,3,0.00069022
2029,4,0.00059124
2029,5,0.00050934
2029,6,0.00044255
2029,7,0.00039012
2029,8,0.0003519
2029,9,0.00032796
2029,10,0.00031948
2029,11,0.00032841
2029,12,0.00035765
2029,13,0.0004121
2029,14,0.00049542
2029,15,0.00060991
2029,16,0.0007489
2029,17,0.00089502
2029,18,0.00102644
2029,19,0.00112073
2029,20,0.00117404
2029,21,0.00119431
2029,22,0.00119647
2029,23,0.00119599
2029,24,0.00120056
2029,25,0.00121448
2029,26,0.00123757
2029,27,0.0012674
2029,28,0.00130275
2029,29,0.00134299
2029,30,0.00138933
2029,31,0.00144458
2029,32,0.00151059
2029,33,0.00158988
2029,34,0.00168369
2029,35,0.0017926
2029,36,0.00191672
2029,37,0.00205475
2029,38,0.00220672
2029,39,0.00237353
2029,40,0.00255789
2029,41,0.00276347
2029,42,0.00299474
2029,43,0.00325675
2029,44,0.00355297
2029,45,0.00388554
2029,46,0.00425377
2029,47,0.00465835
2029,48,0.00509943
2029,49,0.00557771
2029,50,0.00609615
2029,51,0.00665593
2029,52,0.007265
2029,53,0.00793002
2029,54,0.00865834
2029,55,0.00945726
2029,56,0.01032857
2029,57,0.0112842
2029,58,0.01233227
2029,59,0.0134817
2029,60,0.01474294
2029,61,0.01612127
2029,62,0.0176364
2029,63,0.01930182
2029,64,0.02113329
2029,65,0.02315013
2029,66,0.02536281
2029,67,0.02779755
2029,68,0.03048007
2029,69,0.03344315
2029,70,0.03672638
2029,71,0.04036977
2029,72,0.04442171
2029,73,0.04892961
2029,74,0.05393546
2029,75,0.05946766
2029,76,0.06555427
2029,77,0.07222067
2029,78,0.07950278
2029,79,0.08746221
2029,80,0.09608304
2029,81,0.10552127
2029,82,0.11598967
2029,83,0.12754621
2029,84,0.14023903
2029,85,0.15404345
2029,86,0.16892492
2029,87,0.1848142
2029,88,0.20166137
2029,89,0.21948098
2029,90,0.23831341
2029,91,0.25827157
2029,92,0.27944323
2029,93,0.30186271
2029,94,0.32552411
2029,95,0.35031775
2029,96,0.3762989
2029,97,0.40309986
2029,98,0.43052956
2029,99,0.4584627
2030,0,0.0141157
2030,1,0.00092967
2030,2,0.000791
2030,3,0.00067482
2030,4,0.00057792
2030,5,0.00049782
2030,6,0.00043249
2030,7,0.00038125
2030,8,0.00034392
2030,9,0.00032056
2030,10,0.0003123
2030,11,0.00032106
2030,12,0.00034965
2030,13,0.00040289
2030,14,0.00048435
2030,15,0.00059633
2030,16,0.00073233
2030,17,0.0008755
2030,18,0.00100457
2030,19,0.00109752
2030,20,0.00115042
2030,21,0.00117097
2030,22,0.00117372
2030,23,0.00117378
2030,24,0.00117863
2030,25,0.00119255
2030,26,0.0012155
2030,27,0.00124508
2030,28,0.00128011
2030,29,0.00131994
2030,30,0.0013658
2030,31,0.00142046
2030,32,0.00148559
2030,33,0.00156369
2030,34,0.00165606
2030,35,0.00176335
2030,36,0.0018858
2030,37,0.00202225
2030,38,0.00217276
2030,39,0.0023381
2030,40,0.00252089
2030,41,0.00272472
2030,42,0.00295396
2030,43,0.00321317
2030,44,0.00350613
2030,45,0.00383536
2030,46,0.00419992
2030,47,0.00460096
2030,48,0.00503878
2030,49,0.00551422
2030,50,0.00602998
2030,51,0.00658651
2030,52,0.00719207
2030,53,0.00785254
2030,54,0.00857462
2030,55,0.00936654
2030,56,0.01022967
2030,57,0.01117694
2030,58,0.01221693
2030,59,0.01335884
2030,60,0.01461333
2030,61,0.01598391
2030,62,0.01749038
2030,63,0.01914738
2030,64,0.02096888
2030,65,0.02297199
2030,66,0.02517016
2030,67,0.0275908
2030,68,0.03025885
2030,69,0.0332059
2030,70,0.03647051
2030,71,0.04009339
2030,72,0.04412523
2030,73,0.04860836
2030,74,0.0535857
2030,75,0.05908805
2030,76,0.06514228
2030,77,0.07177508
2030,78,0.07902306
2030,79,0.08694744
2030,80,0.09562669
2030,81,0.10507752
2030,82,0.11543961
2030,83,0.12690858
2030,84,0.13951366
2030,85,0.15323924
2030,86,0.16805122
2030,87,0.18387389
2030,88,0.20065824
2030,89,0.21842344
2030,90,0.23721491
2030,91,0.25714545
2030,92,0.27829534
2030,93,0.3006955
2030,94,0.3243315
2030,95,0.34908807
2030,96,0.37506458
2030,97,0.40187034
2030,98,0.42932273
2030,99,0.45730379
2031,0,0.01385965
2031,1,0.00091819
2031,2,0.00078079
2031,3,0.00066581
2031,4,0.00057002
2031,5,0.00049091
2031,6,0.00042641
2031,7,0.00037586
2031,8,0.00033904
2031,9,0.000316
2031,10,0.00030787
2031,11,0.00031648
2031,12,0.00034463
2031,13,0.00039705
2031,14,0.00047726
2031,15,0.00058755
2031,16,0.00072154
2031,17,0.00086275
2031,18,0.0009903
2031,19,0.00108253
2031,20,0.00113538
2031,21,0.00115622
2031,22,0.00115947
2031,23,0.00115998
2031,24,0.00116513
2031,25,0.00117913
2031,26,0.00120197
2031,27,0.00123138
2031,28,0.0012662
2031,29,0.00130578
2031,30,0.00135127
2031,31,0.00140538
2031,32,0.00146974
2031,33,0.00154676
2031,34,0.00163782
2031,35,0.00174364
2031,36,0.00186446
2031,37,0.00199925
2031,38,0.00214819
2031,39,0.00231202
2031,40,0.00249312
2031,41,0.00269479
2031,42,0.00292151
2031,43,0.00317771
2031,44,0.00346676
2031,45,0.00379165
2031,46,0.00415173
2031,47,0.00454822
2031,48,0.00498156
2031,49,0.00545256
2031,50,0.00596386
2031,51,0.00651526
2031,52,0.00711484
2031,53,0.00776835
2031,54,0.00848184
2031,55,0.00926315
2031,56,0.01011491
2031,57,0.01105042
2031,58,0.01207836
2031,59,0.01320814
2031,60,0.01445045
2031,61,0.01580911
2031,62,0.01730258
2031,63,0.01894451
2031,64,0.02075012
2031,65,0.02273476
2031,66,0.02491068
2031,67,0.02730893
2031,68,0.02995459
2031,69,0.03287813
2031,70,0.0361166
2031,71,0.03971117
2031,72,0.04371237
2031,73,0.04816431
2031,74,0.05310462
2031,75,0.0585654
2031,76,0.06457887
2031,77,0.0711684
2031,78,0.07837207
2031,79,0.08625147
2031,80,0.09488435
2031,81,0.10438653
2031,82,0.11475047
2031,83,0.12609811
2031,84,0.13860201
2031,85,0.15222829
2031,86,0.16695398
2031,87,0.18270138
2031,88,0.19941701
2031,89,0.21712014
2031,90,0.23586026
2031,91,0.25575153
2031,92,0.27687327
2031,93,0.29925202
2031,94,0.32287087
2031,95,0.34760802
2031,96,0.3735999
2031,97,0.40042795
2031,98,0.42791925
2031,99,0.45596345
2032,0,0.01358
2032,1,0.00090561
2032,2,0.00076963
2032,3,0.00065598
2032,4,0.00056141
2032,5,0.00048338
2032,6,0.00041979
2032,7,0.00036998
2032,8,0.00033371
2032,9,0.00031103
2032,10,0.00030302
2032,11,0.00031148
2032,12,0.00033916
2032,13,0.0003907
2032,14,0.00046958
2032,15,0.00057808
2032,16,0.00070994
2032,17,0.00084905
2032,18,0.00097496
2032,19,0.00106634
2032,20,0.00111915
2032,21,0.00114039
2032,22,0.00114413
2032,23,0.00114507
2032,24,0.00115052
2032,25,0.00116462
2032,26,0.00118735
2032,27,0.00121657
2032,28,0.00125118
2032,29,0.00129051
2032,30,0.00133566
2032,31,0.00138917
2032,32,0.00145275
2032,33,0.00152874
2032,34,0.00161846
2032,35,0.00172275
2032,36,0.00184186
2032,37,0.00197493
2032,38,0.00212217
2032,39,0.00228437
2032,40,0.00246381
2032,41,0.0026633
2032,42,0.00288727
2032,43,0.00314024
2032,44,0.00342556
2032,45,0.0037459
2032,46,0.00410103
2032,47,0.00449282
2032,48,0.00492156
2032,49,0.00538803
2032,50,0.00589468
2032,51,0.00644091
2032,52,0.0070342
2032,53,0.00768011
2032,54,0.00838487
2032,55,0.00915594
2032,56,0.0099958
2032,57,0.01091898
2032,58,0.01193454
2032,59,0.01305175
2032,60,0.01428133
2032,61,0.01562733
2032,62,0.0171075
2032,63,0.01873445
2032,64,0.02052239
2032,65,0.02248839
2032,66,0.02464412
2032,67,0.02701743
2032,68,0.02963825
2032,69,0.032537
2032,70,0.0357494
2032,71,0.03931689
2032,72,0.04328671
